date,Govt Bond Yield 10 Yr,Real GDP Growth,BI7DRR,Deposit Rate 1M,Deposit Rate 3M,Deposit Rate 6M,Deposit Rate 12M,CPI,JISDOR Exchange Rate,Informal Employment,Cement,Stock Index,Fed Funds,FX,FPI,IPI,JIBOR,JIBOR_1,PMI,Money Supply,Money Supply_1,Motor Sales,Retail,CCI,Exports,Imports,Loans,Trade Bal,Unemployment,Gov Bond,Import Price Index,GFCF,Capacity Utilization,Terms of Trade,Disposable Income,Crude Oil Price,Household Debt,Tax Revenue,Export Price Index,Fiscal Balance,Manufacturing Wages YoY,Household Consumption,Imports Capital Goods,Government Expenditure
1991-12-30,,0.0,,21.3633333333333,22.700000000000003,23.520000000000003,22.34,9.368134130000001,,0.0,0.0,267.5861666666665,5.2153163476308695,,0.0,0.0,,,,345611.15696542,1291646.8539610999,604985.0,0.0,0.0,67806.6,0.0,0.0,0.0,,7.643333333333335,95.39640681,0.0,,,0.0,,0.0,0.0,88.3739573166667,0.0,,0.0,0.0,0.0
1992-06-30,,0.0,,19.728333333333353,21.061666666666653,21.69666666666665,22.29,9.524594816666665,,0.0,0.0,288.6631666666665,3.897236587661505,,0.0,0.0,,,,341501.39944798,1338953.43736648,347983.0,0.0,0.0,66356.3,0.0,0.0,0.0,,7.340000000000005,95.27006912333334,0.0,,,0.0,17.89166666666665,0.0,0.0,87.86194991833335,0.0,3.76868976,0.0,0.0,0.0
1992-12-30,,0.0,,16.7933333333333,18.143333333333352,19.051666666666648,20.155,5.650320448333335,,0.0,0.0,297.3955,3.1508523573201,,0.0,0.0,,,,353824.61091972,1452752.9765579998,388623.0,0.0,0.0,81041.1,0.0,0.0,0.0,,6.68,95.44203694833331,0.0,,,0.0,19.656666666666652,0.0,0.0,88.66850407833334,0.0,3.76868976,0.0,0.0,0.0
1993-06-30,,0.0,,14.803333333333349,15.695,16.22333333333335,17.520000000000003,9.317909753333335,,0.0,0.0,317.92949999999996,3.020754815077395,,0.0,0.0,,,,375746.51202162,1552784.7934922702,382980.0,0.0,0.0,77964.9,0.0,0.0,0.0,,6.135,95.254258475,0.0,,,0.0,18.22833333333335,0.0,0.0,88.18834050500001,0.0,30.24519113,0.0,0.0,0.0
1993-12-30,,0.0,,11.86833333333335,13.4,14.218333333333351,15.1,10.014624494999985,,0.0,0.0,461.279,3.023443341604635,,0.0,0.0,,,,428888.41745566,1715750.0324941599,531225.0,0.0,0.0,81794.1,0.0,0.0,0.0,,5.61166666666667,94.86079915333335,0.0,,,0.0,16.273333333333348,0.0,0.0,87.37470499666665,0.0,30.24519113,0.0,0.0,0.0
1994-06-30,,19.727106069999998,,10.83,11.6533333333333,12.071666666666651,13.2816666666667,7.7687860666666655,,0.0,40705.617,508.6835,3.570536807278745,,0.0,0.0,,,,467855.98133171,1817975.57812,599055.0,0.0,0.0,79515.5,0.0,0.0,0.0,,6.575,94.8877080283333,0.0,,,0.0,15.075,0.0,0.0,87.4735844933333,0.0,1.33971632,0.0,0.0,0.0
1994-12-30,,10.825168940000001,,13.38166666666665,13.4133333333333,12.67666666666665,12.66166666666665,9.275511564999999,,0.0,52639.744000000006,489.1798333333335,4.8124358974359005,,0.0,0.0,,,,510471.11591833003,1987765.08455655,793837.0,0.0,0.0,93812.9,0.0,0.0,0.0,,7.585,95.2229792283333,0.0,,,0.0,16.66,0.0,0.0,88.69909286500001,0.0,1.33971632,0.0,0.0,0.0
1995-06-30,,15.469650689999998,,16.2916666666667,16.02833333333335,14.695,14.024999999999999,9.813726931666686,,0.0,48049.747,450.009,5.90169845208555,,0.0,0.0,,,,531713.05401577,2177664.94779418,780451.0,0.0,0.0,92059.9,0.0,0.0,0.0,,7.051666666666665,95.43109258333335,0.0,,,0.0,17.69,0.0,0.0,89.148637135,0.0,,0.0,0.0,0.0
1995-12-30,,17.390084870000003,,17.051666666666698,17.406666666666652,16.67,15.77833333333335,9.042330163333336,,0.0,57098.012,498.34533333333354,5.76228370554177,,0.0,0.0,,,,570632.9548179801,2434238.4819300603,864810.0,0.0,0.0,104367.596,0.0,0.0,0.0,,6.10833333333333,95.20951334666665,0.0,,,0.0,16.545,0.0,0.0,88.62982305,0.0,,0.0,0.0,0.0
1996-06-30,,12.41058707,,17.0783333333333,17.30333333333335,16.89166666666665,16.625,9.308822288333316,,0.0,50035.163,597.5171666666665,5.312738869399045,,0.0,0.0,15.7980131385281,16.4221856373256,,600160.75666858,2680966.5425608,668169.0,0.0,0.0,101560.087923,0.0,0.0,0.0,,6.3149999999999995,95.51706314333335,0.0,,,0.0,18.93833333333335,0.0,0.0,89.16700617333335,0.0,,0.0,0.0,0.0
